id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22,Listing 22,7293,Host314,Brooklyn,Park Slope,40.84416,-73.96241,Shared room,78.3,1,17,2023-06-15,0.47,8,52
23,Listing 23,7966,Host424,Manhattan,Upper West Side,40.79044,-73.70845,Private room,230.56,2,17,2023-06-15,0.38,7,345
24,Listing 24,2150,Host393,Manhattan,Harlem,40.7754,-74.02963,Entire home/apt,307.74,7,19,2023-06-15,0.12,9,236
25,Listing 25,8004,Host247,Manhattan,Upper West Side,40.51909,-73.85189,Entire home/apt,202.5,1,14,2023-06-15,0.12,1,93
26,Listing 26,7617,Host432,Queens,Astoria,40.82277,-73.92879,Entire home/apt,200.44,2,22,2023-06-15,3.57,4,289
27,Listing 27,5611,Host16,Manhattan,Chelsea,40.52823,-73.82515,Private room,181.53,1,21,2023-06-15,1.24,1,178
28,Listing 28,4913,Host43,Queens,Long Island City,40.57832,-74.02572,Private room,71.66,1,22,2023-06-15,0.46,2,114
29,Listing 29,8543,Host420,Manhattan,Upper West Side,40.66718,-73.71135,Private room,156.18,2,19,2023-06-15,1.03,3,35
30,Listing 30,7806,Host190,Manhattan,SoHo,40.72475,-73.96649,Private room,127.64,3,23,2023-06-15,0.57,1,61
31,Listing 31,1395,Host445,Brooklyn,Williamsburg,40.86215,-74.01805,Entire home/apt,159.43,1,21,2023-06-15,0.71,3,24
32,Listing 32,2167,Host57,Brooklyn,Williamsburg,40.54539,-73.72417,Private room,131.66,30,23,2023-06-15,1.47,9,73
33,Listing 33,7313,Host393,Queens,Astoria,40.82874,-73.80282,Entire home/apt,133.3,1,18,2023-06-15,2.01,7,216
34,Listing 34,4486,Host275,Brooklyn,Bedford-Stuyvesant,40.81086,-73.85456,Entire home/apt,148.72,2,27,2023-06-15,0.81,2,219
35,Listing 35,4072,Host387,Brooklyn,Bedford-Stuyvesant,40.73335,-73.71324,Entire home/apt,181.91,1,17,2023-06-15,0.3,6,57
36,Listing 36,5910,Host149,Manhattan,Upper West Side,40.51736,-73.72637,Private room,101.91,7,16,2023-06-15,0.09,9,304
37,Listing 37,9662,Host441,Brooklyn,Park Slope,40.8661,-73.71445,Shared room,22.61,1,19,2023-06-15,0.49,4,89
38,Listing 38,5964,Host41,Manhattan,Upper West Side,40.60398,-73.89137,Private room,196.03,1,17,2023-06-15,1.11,3,252
39,Listing 39,3871,Host286,Bronx,Fordham,40.84643,-74.03417,Private room,20.0,1,18,2023-06-15,5.24,1,266
40,Listing 40,7970,Host283,Brooklyn,Park Slope,40.72763,-74.02777,Entire home/apt,242.26,1,14,2023-06-15,0.09,1,196
41,Listing 41,5809,Host458,Staten Island,Tottenville,40.65114,-73.96562,Private room,123.85,1,16,2023-06-15,0.28,1,287
42,Listing 42,1249,Host162,Manhattan,SoHo,40.69048,-73.75902,Entire home/apt,258.04,1,13,2023-06-15,1.07,7,206
43,Listing 43,7881,Host294,Queens,Flushing,40.74324,-73.82717,Private room,53.9,2,13,2023-06-15,0.95,1,334
44,Listing 44,3180,Host285,Manhattan,SoHo,40.55883,-73.72569,Entire home/apt,220.31,2,17,2023-06-15,4.7,5,204
45,Listing 45,9472,Host195,Manhattan,SoHo,40.84973,-73.86967,Entire home/apt,248.66,30,21,2023-06-15,2.07,2,91
46,Listing 46,7376,Host12,Manhattan,Chelsea,40.58253,-73.92251,Entire home/apt,196.4,2,23,2023-06-15,1.93,9,213
47,Listing 47,1302,Host127,Manhattan,Chelsea,40.86962,-73.96736,Entire home/apt,241.13,3,20,2023-06-15,0.08,8,6
48,Listing 48,6870,Host493,Brooklyn,Park Slope,40.84689,-73.92605,Entire home/apt,170.43,1,13,2023-06-15,0.24,7,272
49,Listing 49,7168,Host68,Manhattan,Chelsea,40.64204,-73.82291,Entire home/apt,205.9,2,21,2023-06-15,0.98,8,235
50,Listing 50,3739,Host282,Manhattan,Harlem,40.74302,-73.96448,Entire home/apt,186.27,2,18,2023-06-15,0.01,5,197
51,Listing 51,4735,Host311,Manhattan,Upper West Side,40.83693,-74.03193,Entire home/apt,210.3,1,27,2023-06-15,2.99,6,117
52,Listing 52,6560,Host194,Manhattan,Upper West Side,40.72271,-73.84994,Private room,100.44,1,24,2023-06-15,0.47,3,211
53,Listing 53,2828,Host382,Brooklyn,Williamsburg,40.56175,-73.8816,Entire home/apt,208.5,2,10,2023-06-15,0.17,7,137
54,Listing 54,2619,Host321,Staten Island,St. George,40.55553,-74.04905,Private room,90.57,1,20,2023-06-15,1.9,1,68
55,Listing 55,3635,Host483,Queens,Flushing,40.5266,-73.79061,Entire home/apt,130.29,2,25,2023-06-15,1.9,3,212
56,Listing 56,8577,Host62,Manhattan,SoHo,40.64353,-73.74298,Private room,138.58,1,25,2023-06-15,0.57,3,124
57,Listing 57,5033,Host462,Manhattan,SoHo,40.52665,-73.96984,Entire home/apt,159.56,2,19,2023-06-15,1.57,4,14
58,Listing 58,1922,Host420,Queens,Astoria,40.89908,-73.78666,Entire home/apt,163.38,3,24,2023-06-15,0.27,2,9
59,Listing 59,3371,Host332,Brooklyn,Bushwick,40.80875,-74.04573,Entire home/apt,220.48,2,21,2023-06-15,1.1,4,10
60,Listing 60,7166,Host303,Bronx,Riverdale,40.61517,-73.83477,Private room,34.71,7,14,2023-06-15,0.35,8,315
61,Listing 61,6959,Host127,Brooklyn,Bedford-Stuyvesant,40.56102,-73.8483,Private room,116.74,2,19,2023-06-15,3.27,6,266
62,Listing 62,4417,Host110,Brooklyn,Bushwick,40.57453,-73.75688,Entire home/apt,177.96,1,17,2023-06-15,1.12,9,308
63,Listing 63,1536,Host90,Manhattan,Upper West Side,40.86794,-73.92878,Private room,98.39,1,23,2023-06-15,0.31,3,181
64,Listing 64,4572,Host344,Manhattan,SoHo,40.62459,-73.77683,Entire home/apt,243.84,1,16,2023-06-15,0.87,1,83
65,Listing 65,3482,Host379,Brooklyn,Bedford-Stuyvesant,40.81991,-73.92771,Entire home/apt,271.93,2,22,2023-06-15,2.17,3,17
66,Listing 66,7645,Host476,Manhattan,SoHo,40.69244,-73.87605,Entire home/apt,236.37,3,13,2023-06-15,0.09,3,287
67,Listing 67,8643,Host288,Manhattan,SoHo,40.78639,-73.81938,Private room,120.52,1,16,2023-06-15,1.34,8,53
68,Listing 68,8776,Host92,Manhattan,Harlem,40.59527,-74.0152,Entire home/apt,231.22,1,25,2023-06-15,1.32,5,222
69,Listing 69,9705,Host385,Manhattan,Chelsea,40.82698,-73.93036,Entire home/apt,167.21,1,18,2023-06-15,0.37,5,292
70,Listing 70,8083,Host355,Brooklyn,Bushwick,40.87938,-73.78274,Entire home/apt,239.59,1,26,2023-06-15,2.7,1,114
71,Listing 71,6877,Host278,Brooklyn,Williamsburg,40.83397,-73.70546,Entire home/apt,115.07,2,15,2023-06-15,0.02,2,127
72,Listing 72,8184,Host165,Manhattan,Upper West Side,40.76057,-73.75959,Entire home/apt,263.73,1,21,2023-06-15,1.31,7,172
73,Listing 73,4067,Host310,Queens,Astoria,40.79521,-74.02102,Entire home/apt,98.51,2,16,2023-06-15,0.41,4,112
74,Listing 74,5150,Host111,Brooklyn,Bedford-Stuyvesant,40.88163,-74.00275,Private room,98.54,2,17,2023-06-15,0.21,4,336
75,Listing 75,3120,Host201,Brooklyn,Williamsburg,40.64062,-73.90552,Entire home/apt,149.8,3,21,2023-06-15,0.09,2,228
76,Listing 76,8009,Host12,Manhattan,SoHo,40.64439,-74.01795,Entire home/apt,325.94,7,19,2023-06-15,0.94,8,338
77,Listing 77,6319,Host25,Brooklyn,Williamsburg,40.86135,-73.82367,Private room,131.01,3,20,2023-06-15,0.15,7,136
78,Listing 78,2500,Host82,Manhattan,Upper West Side,40.79803,-74.03079,Shared room,135.72,2,20,2023-06-15,1.26,8,107
79,Listing 79,8126,Host364,Manhattan,Chelsea,40.72897,-73.76861,Private room,33.83,2,22,2023-06-15,0.88,2,310
80,Listing 80,4810,Host379,Brooklyn,Bushwick,40.89917,-73.92725,Entire home/apt,220.93,3,19,2023-06-15,1.19,8,235
81,Listing 81,4760,Host3,Staten Island,Tottenville,40.68692,-73.94605,Entire home/apt,115.48,5,23,2023-06-15,0.39,5,72
82,Listing 82,2828,Host61,Manhattan,Harlem,40.60359,-73.84401,Private room,51.59,30,26,2023-06-15,2.81,2,152
83,Listing 83,4564,Host366,Brooklyn,Bedford-Stuyvesant,40.59227,-73.98822,Entire home/apt,175.66,1,15,2023-06-15,0.52,5,53
84,Listing 84,2913,Host241,Staten Island,St. George,40.56956,-73.91132,Entire home/apt,123.7,3,23,2023-06-15,2.03,6,268
85,Listing 85,2218,Host409,Manhattan,SoHo,40.84088,-74.0376,Entire home/apt,144.17,1,28,2023-06-15,0.4,6,327
86,Listing 86,9228,Host316,Brooklyn,Bedford-Stuyvesant,40.54379,-73.73693,Entire home/apt,133.87,30,20,2023-06-15,1.02,8,353
87,Listing 87,4239,Host92,Brooklyn,Williamsburg,40.84023,-73.74645,Entire home/apt,178.6,3,25,2023-06-15,1.37,6,187
88,Listing 88,3808,Host499,Manhattan,SoHo,40.85163,-74.0482,Shared room,93.22,5,24,2023-06-15,0.26,1,232
89,Listing 89,6352,Host224,Brooklyn,Park Slope,40.83605,-73.91275,Entire home/apt,153.36,1,15,2023-06-15,3.53,1,11
90,Listing 90,9213,Host474,Manhattan,Chelsea,40.52988,-73.75165,Entire home/apt,207.18,30,22,2023-06-15,1.25,4,6
91,Listing 91,4356,Host4,Manhattan,Harlem,40.67047,-73.89201,Entire home/apt,296.62,1,24,2023-06-15,0.3,2,174
92,Listing 92,4778,Host337,Brooklyn,Bushwick,40.88529,-74.03904,Entire home/apt,166.37,3,19,2023-06-15,0.46,6,14
93,Listing 93,6390,Host492,Brooklyn,Park Slope,40.68928,-73.71113,Entire home/apt,118.94,1,24,2023-06-15,0.17,5,23
94,Listing 94,1526,Host153,Bronx,Fordham,40.50049,-73.84059,Entire home/apt,148.75,2,16,2023-06-15,0.31,6,116
95,Listing 95,9465,Host478,Brooklyn,Bedford-Stuyvesant,40.657,-73.88202,Entire home/apt,157.92,2,17,2023-06-15,2.36,6,266
96,Listing 96,7731,Host377,Brooklyn,Bedford-Stuyvesant,40.72836,-74.04357,Entire home/apt,167.98,2,16,2023-06-15,1.79,2,352
97,Listing 97,8014,Host90,Brooklyn,Williamsburg,40.77579,-73.76979,Private room,42.09,1,15,2023-06-15,1.21,3,122
98,Listing 98,1552,Host370,Manhattan,Chelsea,40.87408,-73.71843,Private room,90.71,2,24,2023-06-15,0.79,4,207
99,Listing 99,8867,Host362,Brooklyn,Bushwick,40.67544,-73.79631,Private room,74.31,2,22,2023-06-15,1.15,3,54
100,Listing 100,3356,Host183,Brooklyn,Williamsburg,40.51746,-73.99341,Entire home/apt,168.04,1,22,2023-06-15,0.94,3,201
101,Listing 101,1158,Host442,Brooklyn,Williamsburg,40.79708,-73.90108,Entire home/apt,212.64,1,21,2023-06-15,1.55,4,65
102,Listing 102,2394,Host186,Brooklyn,Bedford-Stuyvesant,40.86495,-73.97627,Entire home/apt,164.57,2,22,2023-06-15,0.17,8,99
103,Listing 103,5648,Host318,Bronx,Fordham,40.53896,-73.90824,Private room,61.73,2,21,2023-06-15,0.12,1,344
104,Listing 104,5356,Host449,Staten Island,Tottenville,40.80939,-74.00419,Private room,20.0,7,19,2023-06-15,0.09,9,256
105,Listing 105,7099,Host284,Brooklyn,Bedford-Stuyvesant,40.51467,-73.79226,Private room,63.96,3,20,2023-06-15,1.97,6,107
106,Listing 106,1968,Host293,Brooklyn,Bedford-Stuyvesant,40.87464,-74.03623,Entire home/apt,189.83,1,19,2023-06-15,0.46,1,178
107,Listing 107,1125,Host482,Manhattan,Chelsea,40.62925,-73.70942,Entire home/apt,312.87,2,16,2023-06-15,0.5,6,339
108,Listing 108,2969,Host234,Manhattan,Chelsea,40.79316,-73.99317,Entire home/apt,225.47,1,23,2023-06-15,0.32,6,174
109,Listing 109,8705,Host136,Brooklyn,Park Slope,40.84584,-73.78102,Shared room,54.39,1,25,2023-06-15,1.03,2,191
110,Listing 110,6208,Host176,Manhattan,Harlem,40.80097,-74.01833,Private room,133.93,1,13,2023-06-15,1.74,4,101
111,Listing 111,6450,Host129,Brooklyn,Bushwick,40.54808,-73.85943,Private room,85.6,1,18,2023-06-15,0.61,5,315
112,Listing 112,7059,Host102,Brooklyn,Williamsburg,40.52928,-73.83879,Entire home/apt,224.03,3,22,2023-06-15,0.57,8,303
113,Listing 113,9234,Host432,Queens,Astoria,40.71977,-73.78859,Private room,20.0,3,20,2023-06-15,0.68,5,123
114,Listing 114,1140,Host470,Bronx,Riverdale,40.57782,-73.99178,Private room,59.34,2,20,2023-06-15,3.18,3,135
115,Listing 115,3137,Host345,Manhattan,Upper West Side,40.70899,-74.00687,Private room,147.65,5,24,2023-06-15,0.42,1,297
116,Listing 116,2798,Host310,Bronx,Riverdale,40.72009,-74.03481,Entire home/apt,88.34,2,30,2023-06-15,2.05,6,219
117,Listing 117,7295,Host208,Manhattan,Harlem,40.72265,-73.96052,Private room,116.48,1,22,2023-06-15,1.75,1,241
118,Listing 118,2249,Host161,Manhattan,Harlem,40.5867,-74.0165,Private room,91.74,1,22,2023-06-15,0.95,9,77
119,Listing 119,7780,Host167,Brooklyn,Williamsburg,40.78981,-74.04446,Entire home/apt,136.85,1,25,2023-06-15,0.49,7,108
120,Listing 120,8843,Host387,Manhattan,Upper West Side,40.66048,-73.92157,Private room,200.56,1,22,2023-06-15,2.14,5,26
121,Listing 121,3428,Host58,Brooklyn,Bedford-Stuyvesant,40.6332,-73.81568,Private room,116.01,30,22,2023-06-15,1.57,4,263
122,Listing 122,4374,Host311,Brooklyn,Bushwick,40.71433,-74.01616,Shared room,143.21,2,24,2023-06-15,1.31,4,2
123,Listing 123,3368,Host121,Bronx,Fordham,40.76862,-74.01747,Entire home/apt,125.61,1,21,2023-06-15,0.21,4,150
124,Listing 124,3817,Host475,Manhattan,Chelsea,40.59562,-73.8716,Entire home/apt,264.56,5,26,2023-06-15,1.85,6,315
125,Listing 125,6548,Host291,Queens,Flushing,40.76972,-73.86363,Entire home/apt,158.96,3,14,2023-06-15,2.05,5,162
126,Listing 126,8373,Host276,Manhattan,Chelsea,40.72922,-73.72354,Entire home/apt,142.24,2,20,2023-06-15,1.12,1,109
127,Listing 127,2048,Host141,Queens,Flushing,40.64701,-74.02614,Entire home/apt,22.47,1,19,2023-06-15,0.85,2,315
128,Listing 128,6179,Host151,Queens,Astoria,40.56081,-74.02853,Entire home/apt,126.06,3,19,2023-06-15,6.33,8,82
129,Listing 129,9591,Host252,Manhattan,Harlem,40.74722,-73.82838,Entire home/apt,209.46,1,16,2023-06-15,0.23,4,123
130,Listing 130,8870,Host62,Queens,Flushing,40.76163,-73.92602,Entire home/apt,111.4,2,20,2023-06-15,0.59,5,182
131,Listing 131,8638,Host314,Brooklyn,Park Slope,40.57588,-73.83337,Entire home/apt,184.48,1,25,2023-06-15,0.27,5,172
132,Listing 132,5795,Host395,Manhattan,Harlem,40.68175,-73.75448,Entire home/apt,288.71,1,20,2023-06-15,0.47,2,231
133,Listing 133,3672,Host105,Queens,Astoria,40.54086,-73.81946,Entire home/apt,182.35,7,25,2023-06-15,0.39,2,313
134,Listing 134,9906,Host247,Manhattan,Upper West Side,40.76374,-73.73671,Entire home/apt,225.63,2,21,2023-06-15,0.88,3,68
135,Listing 135,9599,Host483,Brooklyn,Williamsburg,40.50484,-73.71522,Entire home/apt,200.72,3,18,2023-06-15,0.52,3,27
136,Listing 136,7493,Host352,Manhattan,Chelsea,40.52749,-73.9015,Entire home/apt,283.11,1,20,2023-06-15,1.83,8,328
137,Listing 137,9569,Host119,Manhattan,Chelsea,40.51678,-73.71103,Entire home/apt,199.54,3,21,2023-06-15,1.65,2,10
138,Listing 138,6784,Host488,Manhattan,Harlem,40.67283,-73.89621,Private room,99.78,2,29,2023-06-15,0.16,3,173
139,Listing 139,5875,Host233,Manhattan,Harlem,40.71761,-73.82738,Entire home/apt,246.17,1,21,2023-06-15,0.07,6,149
140,Listing 140,4537,Host258,Staten Island,Tottenville,40.55269,-73.79591,Entire home/apt,114.64,5,16,2023-06-15,2.2,6,170
141,Listing 141,3460,Host30,Queens,Astoria,40.84933,-73.8273,Entire home/apt,146.12,3,15,2023-06-15,0.01,1,363
142,Listing 142,6343,Host320,Brooklyn,Williamsburg,40.82003,-73.97859,Entire home/apt,98.57,2,23,2023-06-15,0.25,9,111
143,Listing 143,2037,Host121,Queens,Flushing,40.88323,-73.92122,Private room,83.75,1,14,2023-06-15,2.51,5,185
144,Listing 144,2929,Host24,Manhattan,Harlem,40.58688,-74.00176,Private room,147.77,3,15,2023-06-15,0.62,7,3
145,Listing 145,4959,Host254,Brooklyn,Park Slope,40.69464,-73.84022,Entire home/apt,230.68,2,22,2023-06-15,1.43,6,116
146,Listing 146,6469,Host183,Queens,Long Island City,40.7942,-73.96745,Entire home/apt,203.74,1,24,2023-06-15,0.43,1,197
147,Listing 147,4471,Host325,Brooklyn,Bedford-Stuyvesant,40.57379,-73.92322,Entire home/apt,203.0,1,25,2023-06-15,0.88,3,244
148,Listing 148,8999,Host421,Manhattan,SoHo,40.69236,-73.89769,Entire home/apt,269.03,7,23,2023-06-15,0.06,7,128
149,Listing 149,8736,Host31,Queens,Flushing,40.86905,-73.88478,Entire home/apt,104.93,1,17,2023-06-15,0.04,7,162
150,Listing 150,3014,Host106,Manhattan,Chelsea,40.83792,-73.95615,Entire home/apt,220.16,1,25,2023-06-15,1.16,9,20
151,Listing 151,1671,Host248,Brooklyn,Williamsburg,40.71933,-74.0052,Private room,91.47,5,18,2023-06-15,1.86,9,164
152,Listing 152,4670,Host218,Staten Island,Tottenville,40.57648,-73.93161,Entire home/apt,94.52,1,15,2023-06-15,1.53,9,326
153,Listing 153,5624,Host98,Brooklyn,Williamsburg,40.53269,-73.88959,Entire home/apt,157.18,2,25,2023-06-15,0.74,3,124
154,Listing 154,9103,Host294,Brooklyn,Bedford-Stuyvesant,40.82256,-73.88927,Entire home/apt,175.09,1,24,2023-06-15,0.36,4,153
155,Listing 155,1781,Host411,Manhattan,Chelsea,40.87866,-73.85394,Private room,96.04,3,21,2023-06-15,0.12,3,43
156,Listing 156,7744,Host379,Brooklyn,Bedford-Stuyvesant,40.65217,-73.77854,Private room,115.88,7,16,2023-06-15,0.41,9,163
157,Listing 157,6223,Host210,Manhattan,Upper West Side,40.56318,-73.80644,Private room,165.62,3,17,2023-06-15,2.84,2,362
158,Listing 158,6110,Host8,Staten Island,St. George,40.8576,-73.821,Private room,52.33,1,19,2023-06-15,0.1,9,11
159,Listing 159,4604,Host158,Brooklyn,Park Slope,40.75387,-73.99192,Shared room,69.1,5,19,2023-06-15,0.02,9,130
160,Listing 160,8833,Host382,Brooklyn,Williamsburg,40.65161,-73.70929,Private room,95.7,1,22,2023-06-15,0.35,6,130
161,Listing 161,9381,Host417,Queens,Flushing,40.59595,-74.00031,Entire home/apt,157.12,1,19,2023-06-15,1.26,6,272
162,Listing 162,9915,Host381,Queens,Long Island City,40.77047,-73.93621,Private room,93.12,3,12,2023-06-15,2.32,1,246
163,Listing 163,8358,Host21,Manhattan,SoHo,40.51328,-73.94362,Entire home/apt,220.56,3,22,2023-06-15,2.85,7,90
164,Listing 164,3659,Host328,Manhattan,Chelsea,40.55154,-73.90553,Entire home/apt,251.31,5,20,2023-06-15,0.66,6,214
165,Listing 165,8880,Host284,Manhattan,Harlem,40.5072,-73.71302,Entire home/apt,241.84,3,17,2023-06-15,0.4,4,119
166,Listing 166,1285,Host265,Brooklyn,Williamsburg,40.50496,-73.88593,Entire home/apt,181.68,1,21,2023-06-15,0.43,9,195
167,Listing 167,4198,Host255,Manhattan,Upper West Side,40.53159,-73.96617,Private room,173.01,3,20,2023-06-15,2.14,3,171
168,Listing 168,5577,Host216,Manhattan,Harlem,40.88233,-74.0412,Entire home/apt,302.42,3,19,2023-06-15,0.5,4,92
169,Listing 169,2846,Host455,Manhattan,Harlem,40.55268,-73.96804,Private room,200.6,3,34,2023-06-15,0.38,7,360
170,Listing 170,3261,Host153,Brooklyn,Park Slope,40.50117,-74.03608,Entire home/apt,198.69,2,27,2023-06-15,0.76,9,92
171,Listing 171,6808,Host141,Brooklyn,Park Slope,40.7148,-73.75105,Entire home/apt,108.81,1,17,2023-06-15,0.69,6,232
172,Listing 172,1855,Host277,Manhattan,Harlem,40.63809,-73.87241,Entire home/apt,264.4,5,20,2023-06-15,5.92,1,167
173,Listing 173,7588,Host240,Brooklyn,Bedford-Stuyvesant,40.61869,-73.79855,Private room,50.22,7,25,2023-06-15,2.46,2,323
174,Listing 174,2774,Host412,Manhattan,SoHo,40.71983,-73.73489,Private room,168.42,2,17,2023-06-15,0.64,9,201
175,Listing 175,8544,Host39,Manhattan,SoHo,40.84948,-73.79661,Private room,89.37,1,27,2023-06-15,0.92,8,257
176,Listing 176,3282,Host321,Manhattan,Chelsea,40.53376,-73.91022,Entire home/apt,234.27,7,24,2023-06-15,0.75,8,293
177,Listing 177,3120,Host437,Queens,Flushing,40.8447,-73.8434,Private room,41.7,1,18,2023-06-15,1.04,9,62
178,Listing 178,2141,Host100,Manhattan,SoHo,40.65719,-73.86597,Private room,128.28,2,15,2023-06-15,0.05,1,192
179,Listing 179,6546,Host495,Bronx,Fordham,40.52868,-73.90663,Entire home/apt,143.41,1,22,2023-06-15,0.54,4,203
180,Listing 180,2900,Host434,Brooklyn,Park Slope,40.69424,-74.04036,Private room,153.33,2,32,2023-06-15,0.05,6,362
181,Listing 181,5340,Host30,Manhattan,Chelsea,40.55202,-73.75758,Entire home/apt,200.47,1,18,2023-06-15,0.7,2,200
182,Listing 182,6619,Host401,Staten Island,St. George,40.6542,-73.93086,Private room,42.26,2,15,2023-06-15,0.94,6,308
183,Listing 183,5857,Host497,Queens,Long Island City,40.70298,-73.81291,Entire home/apt,145.21,1,25,2023-06-15,0.22,8,124
184,Listing 184,7652,Host273,Brooklyn,Park Slope,40.79383,-73.94483,Private room,131.45,1,24,2023-06-15,1.57,8,283
185,Listing 185,2708,Host47,Queens,Astoria,40.84799,-74.00427,Entire home/apt,133.65,3,14,2023-06-15,0.39,6,16
186,Listing 186,6867,Host308,Bronx,Riverdale,40.84542,-73.84394,Shared room,50.21,1,17,2023-06-15,1.72,9,241
187,Listing 187,7142,Host239,Brooklyn,Williamsburg,40.72941,-73.71538,Shared room,106.26,1,19,2023-06-15,2.68,3,62
188,Listing 188,8661,Host189,Queens,Long Island City,40.87055,-74.04331,Entire home/apt,110.02,2,23,2023-06-15,1.42,5,203
189,Listing 189,2088,Host292,Queens,Long Island City,40.83366,-73.79083,Entire home/apt,102.08,1,22,2023-06-15,2.24,2,190
190,Listing 190,8427,Host414,Manhattan,Harlem,40.5098,-73.94285,Private room,169.26,2,22,2023-06-15,1.44,3,122
191,Listing 191,8823,Host358,Queens,Flushing,40.52009,-74.02448,Entire home/apt,181.7,2,17,2023-06-15,0.4,8,214
192,Listing 192,4701,Host221,Bronx,Riverdale,40.7333,-73.75522,Entire home/apt,91.12,2,16,2023-06-15,0.29,3,312
193,Listing 193,8651,Host456,Queens,Long Island City,40.72186,-73.82702,Private room,20.0,2,19,2023-06-15,0.43,6,29
194,Listing 194,7919,Host466,Brooklyn,Williamsburg,40.66058,-73.99448,Private room,104.85,5,17,2023-06-15,0.13,1,348
195,Listing 195,7056,Host390,Manhattan,Upper West Side,40.59873,-73.79068,Private room,142.59,1,13,2023-06-15,0.38,2,99
196,Listing 196,3224,Host198,Bronx,Fordham,40.65093,-73.71257,Entire home/apt,127.06,1,23,2023-06-15,0.59,9,119
197,Listing 197,4607,Host364,Brooklyn,Park Slope,40.55184,-73.81336,Entire home/apt,207.62,7,17,2023-06-15,1.21,5,297
198,Listing 198,3587,Host41,Manhattan,Chelsea,40.69039,-74.01116,Shared room,130.45,2,24,2023-06-15,2.35,2,228
199,Listing 199,4893,Host440,Queens,Long Island City,40.75909,-73.77132,Private room,108.6,3,28,2023-06-15,1.6,6,148
200,Listing 200,9547,Host21,Brooklyn,Bushwick,40.61496,-73.92127,Entire home/apt,155.99,1,13,2023-06-15,0.37,5,73
201,Listing 201,5493,Host138,Manhattan,Harlem,40.51257,-73.79233,Private room,155.13,1,27,2023-06-15,1.55,9,227
202,Listing 202,4923,Host119,Manhattan,Chelsea,40.8096,-73.77948,Private room,167.52,2,35,2023-06-15,0.02,9,161
203,Listing 203,5025,Host7,Manhattan,SoHo,40.63924,-73.91989,Entire home/apt,273.23,1,17,2023-06-15,4.39,3,159
